date,forex_rate,base,quote
1492387200,1.063,EUR,USD
1492473600,1.0682,EUR,USD
1492560000,1.0725,EUR,USD
1492646400,1.0745,EUR,USD
1492732800,1.0698,EUR,USD
1492819200,1.0698,EUR,USD
1492905600,1.0698,EUR,USD
1492992000,1.0848,EUR,USD
1493078400,1.0891,EUR,USD
1493164800,1.0893,EUR,USD
1493251200,1.0881,EUR,USD
1493337600,1.093,EUR,USD
1493424000,1.093,EUR,USD
1493510400,1.093,EUR,USD
1493596800,1.093,EUR,USD
1493683200,1.0915,EUR,USD
1493769600,1.0919,EUR,USD
1493856000,1.0927,EUR,USD
1493942400,1.0961,EUR,USD
1494028800,1.0961,EUR,USD
1494115200,1.0961,EUR,USD
1494201600,1.0938,EUR,USD
1494288000,1.0888,EUR,USD
1494374400,1.0882,EUR,USD
1494460800,1.086,EUR,USD
1494547200,1.0876,EUR,USD
1494633600,1.0876,EUR,USD
1494720000,1.0876,EUR,USD
1494806400,1.0972,EUR,USD
1494892800,1.1059,EUR,USD
1494979200,1.1117,EUR,USD
1495065600,1.1129,EUR,USD
1495152000,1.1179,EUR,USD
1495238400,1.1179,EUR,USD
1495324800,1.1179,EUR,USD
1495411200,1.1243,EUR,USD
1495497600,1.1215,EUR,USD
1495584000,1.1193,EUR,USD
1495670400,1.1214,EUR,USD
1495756800,1.1196,EUR,USD
1495843200,1.1196,EUR,USD
1495929600,1.1196,EUR,USD
1496016000,1.1188,EUR,USD
1496102400,1.1173,EUR,USD
1496188800,1.1221,EUR,USD
1496275200,1.1219,EUR,USD
1496361600,1.1217,EUR,USD
1496448000,1.1217,EUR,USD
1496534400,1.1217,EUR,USD
1496620800,1.1249,EUR,USD
1496707200,1.1258,EUR,USD
1496793600,1.1217,EUR,USD
1496880000,1.1229,EUR,USD
1496966400,1.1176,EUR,USD
1497052800,1.1176,EUR,USD
1497139200,1.1176,EUR,USD
1497225600,1.1221,EUR,USD
1497312000,1.1217,EUR,USD
1497398400,1.1203,EUR,USD
1497484800,1.1166,EUR,USD
1497571200,1.1167,EUR,USD
1497657600,1.1167,EUR,USD
1497744000,1.1167,EUR,USD
1497830400,1.1199,EUR,USD
1497916800,1.1156,EUR,USD
1498003200,1.1147,EUR,USD
1498089600,1.1169,EUR,USD
1498176000,1.1173,EUR,USD
1498262400,1.1173,EUR,USD
1498348800,1.1173,EUR,USD
1498435200,1.1187,EUR,USD
1498521600,1.1278,EUR,USD
1498608000,1.1375,EUR,USD
1498694400,1.1413,EUR,USD
1498780800,1.1412,EUR,USD
1498867200,1.1412,EUR,USD
1498953600,1.1412,EUR,USD
1499040000,1.1369,EUR,USD
1499126400,1.1353,EUR,USD
1499212800,1.1329,EUR,USD
1499299200,1.1385,EUR,USD
1499385600,1.1412,EUR,USD
1499472000,1.1412,EUR,USD
1499558400,1.1412,EUR,USD
1499644800,1.1387,EUR,USD
1499731200,1.1405,EUR,USD
1499817600,1.1449,EUR,USD
1499904000,1.1417,EUR,USD
1499990400,1.1415,EUR,USD
1500076800,1.1415,EUR,USD
1500163200,1.1415,EUR,USD
1500249600,1.1462,EUR,USD
1500336000,1.1555,EUR,USD
1500422400,1.1533,EUR,USD
1500508800,1.1485,EUR,USD
1500595200,1.1642,EUR,USD
1500681600,1.1642,EUR,USD
1500768000,1.1642,EUR,USD
1500854400,1.1648,EUR,USD
1500940800,1.1694,EUR,USD
1501027200,1.1644,EUR,USD
1501113600,1.1694,EUR,USD
1501200000,1.1729,EUR,USD
1501286400,1.1729,EUR,USD
1501372800,1.1729,EUR,USD
1501459200,1.1727,EUR,USD
1501545600,1.1812,EUR,USD
1501632000,1.1829,EUR,USD
1501718400,1.186,EUR,USD
1501804800,1.1868,EUR,USD
1501891200,1.1868,EUR,USD
1501977600,1.1868,EUR,USD
1502064000,1.1797,EUR,USD
1502150400,1.1814,EUR,USD
1502236800,1.1731,EUR,USD
1502323200,1.1732,EUR,USD
1502409600,1.1765,EUR,USD
1502496000,1.1765,EUR,USD
1502582400,1.1765,EUR,USD
1502668800,1.1797,EUR,USD
1502755200,1.1744,EUR,USD
1502841600,1.171,EUR,USD
1502928000,1.1697,EUR,USD
1503014400,1.174,EUR,USD
1503100800,1.174,EUR,USD
1503187200,1.174,EUR,USD
1503273600,1.1761,EUR,USD
1503360000,1.1771,EUR,USD
1503446400,1.1799,EUR,USD
1503532800,1.1806,EUR,USD
1503619200,1.1808,EUR,USD
1503705600,1.1808,EUR,USD
1503792000,1.1808,EUR,USD
1503878400,1.1925,EUR,USD
1503964800,1.2048,EUR,USD
1504051200,1.1916,EUR,USD
1504137600,1.1825,EUR,USD
1504224000,1.192,EUR,USD
1504310400,1.192,EUR,USD
1504396800,1.192,EUR,USD
1504483200,1.1905,EUR,USD
1504569600,1.189,EUR,USD
1504656000,1.1931,EUR,USD
1504742400,1.1971,EUR,USD
1504828800,1.206,EUR,USD
1504915200,1.206,EUR,USD
1505001600,1.206,EUR,USD
1505088000,1.1997,EUR,USD
1505174400,1.1933,EUR,USD
1505260800,1.1979,EUR,USD
1505347200,1.1885,EUR,USD
1505433600,1.1963,EUR,USD
1505520000,1.1963,EUR,USD
1505606400,1.1963,EUR,USD
1505692800,1.1948,EUR,USD
1505779200,1.1972,EUR,USD
1505865600,1.2007,EUR,USD
1505952000,1.1905,EUR,USD
1506038400,1.1961,EUR,USD
