time,forex_rate,base,quote
1460505600,0.781,CAD,USD
1460592000,0.77955,CAD,USD
1460678400,0.77633,CAD,USD
1460764800,0.77633,CAD,USD
1460851200,0.77633,CAD,USD
1460937600,0.77375,CAD,USD
1461024000,0.78672,CAD,USD
1461110400,0.78906,CAD,USD
1461196800,0.79151,CAD,USD
1461283200,0.78532,CAD,USD
1461369600,0.78532,CAD,USD
1461456000,0.78532,CAD,USD
1461542400,0.78846,CAD,USD
1461628800,0.79063,CAD,USD
1461715200,0.7947,CAD,USD
1461801600,0.79638,CAD,USD
1461888000,0.79819,CAD,USD
1461974400,0.79819,CAD,USD
1462060800,0.79819,CAD,USD
1462147200,0.79879,CAD,USD
1462233600,0.79463,CAD,USD
1462320000,0.78425,CAD,USD
1462406400,0.78002,CAD,USD
1462492800,0.77645,CAD,USD
1462579200,0.77645,CAD,USD
1462665600,0.77645,CAD,USD
1462752000,0.77291,CAD,USD
1462838400,0.7715,CAD,USD
1462924800,0.77686,CAD,USD
1463011200,0.78039,CAD,USD
1463097600,0.77625,CAD,USD
1463184000,0.77625,CAD,USD
1463270400,0.77625,CAD,USD
1463356800,0.77381,CAD,USD
1463443200,0.77356,CAD,USD
1463529600,0.77058,CAD,USD
1463616000,0.76279,CAD,USD
1463702400,0.76299,CAD,USD
1463788800,0.76299,CAD,USD
1463875200,0.76299,CAD,USD
1463961600,0.7606,CAD,USD
1464048000,0.76056,CAD,USD
1464134400,0.76301,CAD,USD
1464220800,0.77325,CAD,USD
1464307200,0.76703,CAD,USD
1464393600,0.76703,CAD,USD
1464480000,0.76703,CAD,USD
1464566400,0.76694,CAD,USD
1464652800,0.76765,CAD,USD
1464739200,0.76608,CAD,USD
1464825600,0.76306,CAD,USD
1464912000,0.76429,CAD,USD
1464998400,0.76429,CAD,USD
1465084800,0.76429,CAD,USD
1465171200,0.77388,CAD,USD
1465257600,0.78235,CAD,USD
1465344000,0.7885,CAD,USD
1465430400,0.78449,CAD,USD
1465516800,0.78446,CAD,USD
1465603200,0.78446,CAD,USD
1465689600,0.78446,CAD,USD
1465776000,0.78304,CAD,USD
1465862400,0.77687,CAD,USD
1465948800,0.77781,CAD,USD
1466035200,0.76903,CAD,USD
1466121600,0.77512,CAD,USD
1466208000,0.77512,CAD,USD
1466294400,0.77512,CAD,USD
1466380800,0.78044,CAD,USD
1466467200,0.78292,CAD,USD
1466553600,0.7836,CAD,USD
1466640000,0.78453,CAD,USD
1466726400,0.7689,CAD,USD
1466812800,0.7689,CAD,USD
1466899200,0.7689,CAD,USD
1466985600,0.76641,CAD,USD
1467072000,0.76693,CAD,USD
1467158400,0.76976,CAD,USD
1467244800,0.77183,CAD,USD
1467331200,0.7738,CAD,USD
1467417600,0.7738,CAD,USD
1467504000,0.7738,CAD,USD
1467590400,0.77736,CAD,USD
1467676800,0.77306,CAD,USD
1467763200,0.76767,CAD,USD
1467849600,0.77331,CAD,USD
1467936000,0.76843,CAD,USD
1468022400,0.76843,CAD,USD
1468108800,0.76843,CAD,USD
1468195200,0.76533,CAD,USD
1468281600,0.76751,CAD,USD
1468368000,0.76612,CAD,USD
1468454400,0.77361,CAD,USD
1468540800,0.77726,CAD,USD
1468627200,0.77726,CAD,USD
1468713600,0.77726,CAD,USD
1468800000,0.77213,CAD,USD
1468886400,0.76824,CAD,USD
1468972800,0.76575,CAD,USD
1469059200,0.76621,CAD,USD
1469145600,0.76295,CAD,USD
1469232000,0.76295,CAD,USD
1469318400,0.76295,CAD,USD
1469404800,0.75921,CAD,USD
1469491200,0.75565,CAD,USD
1469577600,0.75816,CAD,USD
1469664000,0.75985,CAD,USD
1469750400,0.75893,CAD,USD
1469836800,0.75893,CAD,USD
1469923200,0.75893,CAD,USD
1470009600,0.76534,CAD,USD
1470096000,0.76622,CAD,USD
1470182400,0.76336,CAD,USD
1470268800,0.7661,CAD,USD
1470355200,0.76784,CAD,USD
1470441600,0.76784,CAD,USD
1470528000,0.76784,CAD,USD
