time,forex_rate,base,quote
1460505600,1.1298,EUR,USD
1460592000,1.1252,EUR,USD
1460678400,1.1284,EUR,USD
1460764800,1.1284,EUR,USD
1460851200,1.1284,EUR,USD
1460937600,1.1306,EUR,USD
1461024000,1.1343,EUR,USD
1461110400,1.1379,EUR,USD
1461196800,1.1355,EUR,USD
1461283200,1.1263,EUR,USD
1461369600,1.1263,EUR,USD
1461456000,1.1263,EUR,USD
1461542400,1.1264,EUR,USD
1461628800,1.1287,EUR,USD
1461715200,1.1303,EUR,USD
1461801600,1.1358,EUR,USD
1461888000,1.1403,EUR,USD
1461974400,1.1403,EUR,USD
1462060800,1.1403,EUR,USD
1462147200,1.1493,EUR,USD
1462233600,1.1569,EUR,USD
1462320000,1.1505,EUR,USD
1462406400,1.1439,EUR,USD
1462492800,1.1427,EUR,USD
1462579200,1.1427,EUR,USD
1462665600,1.1427,EUR,USD
1462752000,1.1395,EUR,USD
1462838400,1.1375,EUR,USD
1462924800,1.1409,EUR,USD
1463011200,1.1389,EUR,USD
1463097600,1.1348,EUR,USD
1463184000,1.1348,EUR,USD
1463270400,1.1348,EUR,USD
1463356800,1.1324,EUR,USD
1463443200,1.1318,EUR,USD
1463529600,1.1279,EUR,USD
1463616000,1.1197,EUR,USD
1463702400,1.1219,EUR,USD
1463788800,1.1219,EUR,USD
1463875200,1.1219,EUR,USD
1463961600,1.1215,EUR,USD
1464048000,1.1168,EUR,USD
1464134400,1.1146,EUR,USD
1464220800,1.1168,EUR,USD
1464307200,1.1168,EUR,USD
1464393600,1.1168,EUR,USD
1464480000,1.1168,EUR,USD
1464566400,1.1139,EUR,USD
1464652800,1.1154,EUR,USD
1464739200,1.1174,EUR,USD
1464825600,1.1188,EUR,USD
1464912000,1.1154,EUR,USD
1464998400,1.1154,EUR,USD
1465084800,1.1154,EUR,USD
1465171200,1.1349,EUR,USD
1465257600,1.1348,EUR,USD
1465344000,1.1378,EUR,USD
1465430400,1.1343,EUR,USD
1465516800,1.1304,EUR,USD
1465603200,1.1304,EUR,USD
1465689600,1.1304,EUR,USD
1465776000,1.1268,EUR,USD
1465862400,1.1225,EUR,USD
1465948800,1.123,EUR,USD
1466035200,1.1174,EUR,USD
1466121600,1.1254,EUR,USD
1466208000,1.1254,EUR,USD
1466294400,1.1254,EUR,USD
1466380800,1.1332,EUR,USD
1466467200,1.1314,EUR,USD
1466553600,1.1283,EUR,USD
1466640000,1.1389,EUR,USD
1466726400,1.1066,EUR,USD
1466812800,1.1066,EUR,USD
1466899200,1.1066,EUR,USD
1466985600,1.0998,EUR,USD
1467072000,1.1073,EUR,USD
1467158400,1.109,EUR,USD
1467244800,1.1102,EUR,USD
1467331200,1.1135,EUR,USD
1467417600,1.1135,EUR,USD
1467504000,1.1135,EUR,USD
1467590400,1.1138,EUR,USD
1467676800,1.1146,EUR,USD
1467763200,1.1069,EUR,USD
1467849600,1.108,EUR,USD
1467936000,1.107,EUR,USD
1468022400,1.107,EUR,USD
1468108800,1.107,EUR,USD
1468195200,1.1049,EUR,USD
1468281600,1.1092,EUR,USD
1468368000,1.1072,EUR,USD
1468454400,1.1157,EUR,USD
1468540800,1.1128,EUR,USD
1468627200,1.1128,EUR,USD
1468713600,1.1128,EUR,USD
1468800000,1.1053,EUR,USD
1468886400,1.1035,EUR,USD
1468972800,1.1013,EUR,USD
1469059200,1.1015,EUR,USD
1469145600,1.1014,EUR,USD
1469232000,1.1014,EUR,USD
1469318400,1.1014,EUR,USD
1469404800,1.0982,EUR,USD
1469491200,1.0997,EUR,USD
1469577600,1.0991,EUR,USD
1469664000,1.109,EUR,USD
1469750400,1.1113,EUR,USD
1469836800,1.1113,EUR,USD
1469923200,1.1113,EUR,USD
1470009600,1.1164,EUR,USD
1470096000,1.1193,EUR,USD
1470182400,1.12,EUR,USD
1470268800,1.1136,EUR,USD
1470355200,1.1156,EUR,USD
1470441600,1.1156,EUR,USD
1470528000,1.1156,EUR,USD
1470614400,1.1087,EUR,USD
1470700800,1.1078,EUR,USD
1470787200,1.1184,EUR,USD
1470873600,1.1153,EUR,USD
1470960000,1.1158,EUR,USD
1471046400,1.1158,EUR,USD
1471132800,1.1158,EUR,USD
1471219200,1.118,EUR,USD
1471305600,1.1295,EUR,USD
1471392000,1.1276,EUR,USD
1471478400,1.1321,EUR,USD
1471564800,1.1326,EUR,USD
1471651200,1.1326,EUR,USD
1471737600,1.1326,EUR,USD
1471824000,1.1306,EUR,USD
1471910400,1.1339,EUR,USD
1471996800,1.1268,EUR,USD
1472083200,1.129,EUR,USD
1472169600,1.129,EUR,USD
1472256000,1.129,EUR,USD
1472342400,1.129,EUR,USD
1472428800,1.117,EUR,USD
1472515200,1.1168,EUR,USD
1472601600,1.1132,EUR,USD
1472688000,1.1146,EUR,USD
1472774400,1.1193,EUR,USD
1472860800,1.1193,EUR,USD
1472947200,1.1193,EUR,USD
1473033600,1.1156,EUR,USD
1473120000,1.1159,EUR,USD
1473206400,1.1237,EUR,USD
1473292800,1.1296,EUR,USD
1473379200,1.1268,EUR,USD
1473465600,1.1268,EUR,USD
1473552000,1.1268,EUR,USD
