date,forex_rate,base,quote
1460505600,0.00087035,KRW,USD
1460592000,0.00086654,KRW,USD
1460678400,0.00087128,KRW,USD
1460764800,0.00087128,KRW,USD
1460851200,0.00087128,KRW,USD
1460937600,0.00086996,KRW,USD
1461024000,0.00088805,KRW,USD
1461110400,0.00088553,KRW,USD
1461196800,0.0008827,KRW,USD
1461283200,0.00087486,KRW,USD
1461369600,0.00087486,KRW,USD
1461456000,0.00087486,KRW,USD
1461542400,0.00087216,KRW,USD
1461628800,0.00086883,KRW,USD
1461715200,0.0008698,KRW,USD
1461801600,0.00087673,KRW,USD
1461888000,0.00087614,KRW,USD
1461974400,0.00087614,KRW,USD
1462060800,0.00087614,KRW,USD
1462147200,0.0008788,KRW,USD
1462233600,0.00087392,KRW,USD
1462320000,0.0008598,KRW,USD
1462406400,0.0008575,KRW,USD
1462492800,0.00085302,KRW,USD
1462579200,0.00085302,KRW,USD
1462665600,0.00085302,KRW,USD
1462752000,0.00085203,KRW,USD
1462838400,0.00085206,KRW,USD
1462924800,0.00085602,KRW,USD
1463011200,0.00085529,KRW,USD
1463097600,0.00085266,KRW,USD
1463184000,0.00085266,KRW,USD
1463270400,0.00085266,KRW,USD
1463356800,0.00084767,KRW,USD
1463443200,0.00084989,KRW,USD
1463529600,0.00084153,KRW,USD
1463616000,0.00083967,KRW,USD
1463702400,0.00084227,KRW,USD
1463788800,0.00084227,KRW,USD
1463875200,0.00084227,KRW,USD
1463961600,0.00084336,KRW,USD
1464048000,0.00084014,KRW,USD
1464134400,0.00084619,KRW,USD
1464220800,0.00084741,KRW,USD
1464307200,0.00084799,KRW,USD
1464393600,0.00084799,KRW,USD
1464480000,0.00084799,KRW,USD
1464566400,0.00083967,KRW,USD
1464652800,0.00084111,KRW,USD
1464739200,0.0008392,KRW,USD
1464825600,0.00084158,KRW,USD
1464912000,0.00084347,KRW,USD
1464998400,0.00084347,KRW,USD
1465084800,0.00084347,KRW,USD
1465171200,0.00085782,KRW,USD
1465257600,0.00086514,KRW,USD
1465344000,0.00086762,KRW,USD
1465430400,0.00086154,KRW,USD
1465516800,0.0008589,KRW,USD
1465603200,0.0008589,KRW,USD
1465689600,0.0008589,KRW,USD
1465776000,0.00085196,KRW,USD
1465862400,0.00084762,KRW,USD
1465948800,0.00085328,KRW,USD
1466035200,0.00084922,KRW,USD
1466121600,0.00085374,KRW,USD
1466208000,0.00085374,KRW,USD
1466294400,0.00085374,KRW,USD
1466380800,0.00086352,KRW,USD
1466467200,0.00086764,KRW,USD
1466553600,0.00086953,KRW,USD
1466640000,0.00087305,KRW,USD
1466726400,0.00085327,KRW,USD
1466812800,0.00085327,KRW,USD
1466899200,0.00085327,KRW,USD
1466985600,0.00084412,KRW,USD
1467072000,0.00085559,KRW,USD
1467158400,0.00086425,KRW,USD
1467244800,0.00086836,KRW,USD
1467331200,0.00087279,KRW,USD
1467417600,0.00087279,KRW,USD
1467504000,0.00087279,KRW,USD
1467590400,0.00087097,KRW,USD
1467676800,0.0008641,KRW,USD
1467763200,0.00085866,KRW,USD
1467849600,0.00086522,KRW,USD
1467936000,0.00086424,KRW,USD
1468022400,0.00086424,KRW,USD
1468108800,0.00086424,KRW,USD
1468195200,0.00087082,KRW,USD
1468281600,0.00087249,KRW,USD
1468368000,0.00087484,KRW,USD
1468454400,0.00088393,KRW,USD
1468540800,0.0008831,KRW,USD
1468627200,0.0008831,KRW,USD
1468713600,0.0008831,KRW,USD
1468800000,0.0008789,KRW,USD
1468886400,0.00087747,KRW,USD
1468972800,0.00087606,KRW,USD
1469059200,0.00087867,KRW,USD
1469145600,0.00088027,KRW,USD
1469232000,0.00088027,KRW,USD
1469318400,0.00088027,KRW,USD
1469404800,0.00087821,KRW,USD
1469491200,0.00088032,KRW,USD
1469577600,0.00088125,KRW,USD
1469664000,0.00088635,KRW,USD
1469750400,0.00089132,KRW,USD
1469836800,0.00089132,KRW,USD
1469923200,0.00089132,KRW,USD
1470009600,0.00090309,KRW,USD
1470096000,0.00090339,KRW,USD
1470182400,0.00089507,KRW,USD
1470268800,0.00089669,KRW,USD
1470355200,0.00090135,KRW,USD
1470441600,0.00090135,KRW,USD
1470528000,0.00090135,KRW,USD
1470614400,0.00090182,KRW,USD
1470700800,0.00090455,KRW,USD
1470787200,0.0009141,KRW,USD
1470873600,0.00090896,KRW,USD
1470960000,0.00090407,KRW,USD
1471046400,0.00090407,KRW,USD
1471132800,0.00090407,KRW,USD
1471219200,0.00090961,KRW,USD
1471305600,0.0009165,KRW,USD
1471392000,0.00089992,KRW,USD
1471478400,0.00090056,KRW,USD
1471564800,0.00089237,KRW,USD
1471651200,0.00089237,KRW,USD
1471737600,0.00089237,KRW,USD
1471824000,0.0008901,KRW,USD
1471910400,0.00089587,KRW,USD
1471996800,0.00089075,KRW,USD
1472083200,0.00089582,KRW,USD
1472169600,0.00089746,KRW,USD
1472256000,0.00089746,KRW,USD
1472342400,0.00089746,KRW,USD
1472428800,0.00089025,KRW,USD
1472515200,0.00089739,KRW,USD
1472601600,0.00089507,KRW,USD
1472688000,0.00089139,KRW,USD
1472774400,0.00089623,KRW,USD
1472860800,0.00089623,KRW,USD
1472947200,0.00089623,KRW,USD
1473033600,0.00090376,KRW,USD
1473120000,0.00090444,KRW,USD
1473206400,0.00091738,KRW,USD
1473292800,0.0009177,KRW,USD
1473379200,0.00090564,KRW,USD
1473465600,0.00090564,KRW,USD
