time,close,high,low,open,volumefrom,volumeto
1460851200,0,0,0,0,0,0
1460937600,0,0,0,0,0,0
1461024000,0,0,0,0,0,0
1461110400,0,0,0,0,0,0
1461196800,0,0,0,0,0,0
1461283200,0,0,0,0,0,0
1461369600,0,0,0,0,0,0
1461456000,0,0,0,0,0,0
1461542400,0,0,0,0,0,0
1461628800,0,0,0,0,0,0
1461715200,0,0,0,0,0,0
1461801600,0,0,0,0,0,0
1461888000,0,0,0,0,0,0
1461974400,0,0,0,0,0,0
1462060800,0,0,0,0,0,0
1462147200,0,0,0,0,0,0
1462233600,0,0,0,0,0,0
1462320000,0,0,0,0,0,0
1462406400,0,0,0,0,0,0
1462492800,0,0,0,0,0,0
1462579200,0,0,0,0,0,0
1462665600,0,0,0,0,0,0
1462752000,0,0,0,0,0,0
1462838400,0,0,0,0,0,0
1462924800,0,0,0,0,0,0
1463011200,0,0,0,0,0,0
1463097600,0,0,0,0,0,0
1463184000,0,0,0,0,0,0
1463270400,0,0,0,0,0,0
1463356800,0,0,0,0,0,0
1463443200,0,0,0,0,0,0
1463529600,0,0,0,0,0,0
1463616000,0,0,0,0,0,0
1463702400,0,0,0,0,0,0
1463788800,0,0,0,0,0,0
1463875200,0,0,0,0,0,0
1463961600,0,0,0,0,0,0
1464048000,0,0,0,0,0,0
1464134400,0,0,0,0,0,0
1464220800,0,0,0,0,0,0
1464307200,0,0,0,0,0,0
1464393600,0,0,0,0,0,0
1464480000,0,0,0,0,0,0
1464566400,0,0,0,0,0,0
1464652800,0,0,0,0,0,0
1464739200,0,0,0,0,0,0
1464825600,0,0,0,0,0,0
1464912000,0,0,0,0,0,0
1464998400,0,0,0,0,0,0
1465084800,0,0,0,0,0,0
1465171200,0,0,0,0,0,0
1465257600,0,0,0,0,0,0
1465344000,0,0,0,0,0,0
1465430400,0,0,0,0,0,0
1465516800,0,0,0,0,0,0
1465603200,0,0,0,0,0,0
1465689600,0,0,0,0,0,0
1465776000,0,0,0,0,0,0
1465862400,0,0,0,0,0,0
1465948800,0,0,0,0,0,0
1466035200,0,0,0,0,0,0
1466121600,0,0,0,0,0,0
1466208000,0,0,0,0,0,0
1466294400,0,0,0,0,0,0
1466380800,0,0,0,0,0,0
1466467200,0,0,0,0,0,0
1466553600,0,0,0,0,0,0
1466640000,0,0,0,0,0,0
1466726400,0,0,0,0,0,0
1466812800,0,0,0,0,0,0
1466899200,0,0,0,0,0,0
1466985600,0,0,0,0,0,0
1467072000,0,0,0,0,0,0
1467158400,0,0,0,0,0,0
1467244800,0,0,0,0,0,0
1467331200,0,0,0,0,0,0
1467417600,0,0,0,0,0,0
1467504000,0,0,0,0,0,0
1467590400,0,0,0,0,0,0
1467676800,0,0,0,0,0,0
1467763200,0,0,0,0,0,0
1467849600,0,0,0,0,0,0
1467936000,0,0,0,0,0,0
1468022400,0,0,0,0,0,0
1468108800,0,0,0,0,0,0
1468195200,0,0,0,0,0,0
1468281600,0,0,0,0,0,0
1468368000,0,0,0,0,0,0
1468454400,0,0,0,0,0,0
1468540800,0,0,0,0,0,0
1468627200,0,0,0,0,0,0
1468713600,0,0,0,0,0,0
1468800000,0,0,0,0,0,0
1468886400,0,0,0,0,0,0
1468972800,0,0,0,0,0,0
1469059200,0,0,0,0,0,0
1469145600,0,0,0,0,0,0
1469232000,0,0,0,0,0,0
1469318400,0,0,0,0,0,0
1469404800,0,0,0,0,0,0
1469491200,0,0,0,0,0,0
1469577600,0,0,0,0,0,0
1469664000,0,0,0,0,0,0
1469750400,0,0,0,0,0,0
1469836800,0,0,0,0,0,0
1469923200,0,0,0,0,0,0
1470009600,0,0,0,0,0,0
1470096000,0,0,0,0,0,0
1470182400,0,0,0,0,0,0
1470268800,0,0,0,0,0,0
1470355200,0,0,0,0,0,0
1470441600,0,0,0,0,0,0
1470528000,0,0,0,0,0,0
1470614400,0,0,0,0,0,0
1470700800,0,0,0,0,0,0
1470787200,0,0,0,0,0,0
1470873600,0,0,0,0,0,0
1470960000,0,0,0,0,0,0
1471046400,0,0,0,0,0,0
1471132800,0,0,0,0,0,0
1471219200,0,0,0,0,0,0
1471305600,15.13,15.13,14.46,14.72,465.17,6810.93
1471392000,14.18,15.14,14.16,15.13,435.85,6304.86
1471478400,14.27,15.14,14.18,14.31,432.48,6289.71
1471564800,14,14.84,13.53,14.25,194.02,2745.29
1471651200,14.79,14.79,14,14,1342.51,19793.36
1471737600,14.3,14.79,14.16,14.23,316.31,4512.73
1471824000,14.35,14.35,14.24,14.3,1236.6,17699.01
1471910400,14.23,14.35,14.23,14.35,994.04,14172.64
1471996800,14.23,14.35,14.23,14.23,487.58,6968.7
1472083200,14.23,14.35,14.23,14.23,233.92,3355.42
1472169600,14.61,14.7,14.23,14.69,360.4,5269.4
1472256000,14.61,14.61,14.61,14.61,130.29,1903.58
1472342400,14.6,14.61,14.25,14.61,2504.24,36458.3
1472428800,14.58,14.58,14.07,14.25,327.95,4648.35
1472515200,14.67,14.67,14.09,14.58,714.49,10330.1
1472601600,14.79,14.79,14.4,14.67,651.82,9595.38
1472688000,15.94,15.94,14.78,14.95,4498.97,67571.96
1472774400,15.93,15.94,14.93,15.94,166.68,2648.79
1472860800,15.38,16.39,14.45,15.98,219.6,3535.06
1472947200,14.8,15.7,14.6,15.38,24.79,378.57
1473033600,15.66,15.66,14.8,14.8,54.27,831.92
1473120000,15.03,15.69,15,15.01,329.3,4954.66
1473206400,15.33,15.49,14.7,15.03,90.19,1341.33
1473292800,14.97,15.33,14.5,14.76,343.35,5085.81
1473379200,15.32,15.32,14.54,14.97,383.38,5801.88
1473465600,15.69,15.69,15.25,15.32,3737.15,57243.42
1473552000,15.87,15.89,15.29,15.49,246.14,3800.3
1473638400,15.75,15.87,15.24,15.87,111.13,1724.54
1473724800,15.58,15.99,15.41,15.93,284.15,4516.13
1473811200,15.32,16.04,15.03,15.58,1017.73,15915.94
1473897600,15.97,16,15.32,15.99,846.96,13310.04
1473984000,16.52,16.82,15.38,15.97,598.09,9699.83
1474070400,16.96,17,16.21,16.35,444.35,7473.73
1474156800,16.31,17.24,16.27,17,536.58,8990.72
1474243200,16.78,17.09,16.28,16.31,157.43,2626.07
1474329600,18.81,18.81,16.78,17.8,1195.84,21387.96
1474416000,17.96,19.24,16.5,17.22,1223.21,21959.88
1474502400,17.5,18,16.61,17.16,416.04,7228.89
1474588800,17.88,17.99,17.2,17.99,369.99,6597.13
1474675200,17.2,18.15,17.2,17.45,312.28,5473.26
1474761600,17.42,18.1,17,17.2,434.13,7471.42
1474848000,17.38,17.4,17.06,17.12,142.41,2451.93
1474934400,17.89,17.94,17.06,17.38,660.75,11624.74
1475020800,17.55,18.1,17.08,17.08,676.16,12028.02
1475107200,17.52,17.8,17.03,17.75,201.34,3552.73
1475193600,17.96,17.97,17.2,17.52,261.67,4681.06
1475280000,17.87,17.87,17.01,17.59,337.35,5945.65
1475366400,17.21,17.87,17.2,17.84,80.6,1399.58
1475452800,17.21,17.88,17.21,17.21,853.39,14908.71
1475539200,17.7,17.98,17.2,17.21,615.89,10890.95
1475625600,17.78,17.84,17.25,17.59,86.33,1531.17
1475712000,17.1,17.78,17.08,17.78,555.51,9578.38
1475798400,17.25,17.34,16.71,17.09,243.54,4156.6
1475884800,16.26,16.9,16,16.71,497.29,8182.72
1475971200,16.05,16.5,16.01,16.26,147.31,2407.57
1476057600,15.42,16.49,15.42,16.05,2014.03,32262.21
1476144000,15.75,16.34,15.41,15.42,644.84,10199.87
1476230400,16,16.77,15.3,15.75,478.9,7479.86
1476316800,15.81,16.79,15.53,16.79,386.61,6224.14
1476403200,15.65,16.39,15.65,15.8,107.25,1697.68
1476489600,16.11,16.37,15.49,15.65,137.31,2135.34
1476576000,15.7,16.11,15.51,16.11,172.25,2705.54
1476662400,16.14,16.18,15.51,15.7,893.22,14372.01
1476748800,16.65,17.12,15.56,16.15,501.28,8241.25
1476835200,15.85,16.65,15.85,16.23,370.54,5970.74
1476921600,15.91,16.56,15.8,15.85,75.48,1212.51
1477008000,15.91,16.15,15.91,15.91,8.44,135.41
1477094400,16.03,16.2,15.67,16.15,75.19,1202.25
1477180800,16.01,16.23,15.81,16.03,47.55,763
1477267200,15.84,16.17,15.83,16.01,118.89,1884.93
1477353600,15.25,16.12,14.4,15.41,1228.2,18657.48
1477440000,15,15.6,14.56,15.25,262.22,3929.12
1477526400,14.77,15.49,14.56,14.56,103.88,1576.36
1477612800,14.93,15.5,14.6,15.35,160.82,2429.13
1477699200,13.81,15.16,13,14.01,4175.14,59017.52
1477785600,14.51,15.2,13.58,13.9,590.79,8531.97
1477872000,14.52,15.29,14.48,14.51,641.71,9501.11
1477958400,14.55,15,13.75,14.5,1008.53,14431.02
1478044800,14.7,14.88,13.75,14.7,505.67,7350.01
1478131200,14.3,14.96,14.21,14.5,301.99,4325.34
1478217600,14.9,14.9,14.22,14.36,247.23,3535.54
1478304000,14.77,14.9,14.3,14.9,94,1380.67
1478390400,14.4,14.89,14.4,14.75,98.02,1454.37
1478476800,14.87,14.87,14.4,14.43,218.88,3184.34
1478563200,14.41,14.87,14.3,14.87,272.38,3915.18
1478649600,14.4,14.74,14.06,14.74,1032.92,14695.62
1478736000,14.25,14.4,14,14.25,1264.14,17764.23
1478822400,13.92,14.25,13.92,14.2,258.92,3659.32
1478908800,13.77,13.92,13.23,13.92,269.09,3700.04
1478995200,13.61,14.11,13.11,13.48,154.34,2080.6
1479081600,13.45,14,13.45,13.74,231.76,3190.32
1479168000,13.5,13.88,13.34,13.61,925.75,12585.18
1479254400,13.48,13.89,13.37,13.41,1219.97,16610.51
1479340800,13.5,13.91,13.3,13.48,514.34,6924.77
1479427200,12.73,13.9,12.73,13.35,349.46,4653.76
1479513600,13.37,13.5,12.5,12.73,911.59,11842.7
1479600000,12.78,13.39,12.76,13.37,831.23,10836.35
1479686400,13,13,12.75,13,354.89,4594.24
1479772800,13.95,13.96,12.73,13.25,890.3,11807.22
1479859200,13.01,13.95,13.01,13.5,258.63,3424.2
1479945600,12.4,13.44,11.58,13.01,1639.7,20987.01
1480032000,12.79,13.49,12.26,12.99,504.97,6539.14
1480118400,12.99,13.04,12.25,12.99,88.37,1139
1480204800,12.28,12.65,11.92,12.38,470.68,5773.86
1480291200,11.86,12.28,11.86,11.86,274.17,3264.96
1480377600,11.1,12.18,10.5,10.82,794.68,9025.04
1480464000,11.98,11.99,10.77,10.77,636.01,7273.85
1480550400,11.26,11.73,11,11.55,619.23,7006.52
1480636800,10.16,11.34,9.8,11.34,1466.18,15348.45
1480723200,10.6,10.61,10.14,10.22,793.76,8185.41
1480809600,9.85,10.6,9.85,10.6,67.35,700.63
1480896000,8.87,9.94,8.76,9.94,1528.88,14240.03
1480982400,9.96,10.07,8,8.01,2659.66,23266.84
1481068800,10.55,11.21,9.71,9.96,1637.25,17288.6
1481155200,10.79,12,10.79,10.99,842.9,9574.79
1481241600,10.99,11.71,10.53,10.79,719.28,7919.8
1481328000,10.7,11.26,10.7,10.99,66.78,718.51
1481414400,10.67,10.96,10.67,10.7,78.01,847.17
1481500800,11.18,11.27,9.25,9.25,718.73,7557.02
1481587200,11.23,11.28,10.87,11.09,214.97,2410.06
1481673600,11.14,11.23,10.88,11.23,227.39,2531.05
1481760000,10.23,11.14,10.21,10.5,982.08,10405.04
1481846400,10.67,10.67,10.23,10.23,506.43,5359.02
1481932800,10.2,10.67,10.07,10.66,498.61,5094.92
1482019200,10.41,10.61,10.2,10.2,173.3,1818.36
1482105600,10.18,10.52,10.18,10.41,331.96,3463.39
1482192000,10.32,11.64,10.18,10.18,4940.1,51115.34
1482278400,10.69,10.92,10.32,10.32,4416.22,45616.74
1482364800,11.96,12.5,10.33,11.25,4959.7,51924.97
1482451200,10.16,11.96,10.1,11.96,3557.7,36314.69
1482537600,10.75,10.87,10.09,10.12,222.71,2262.81
1482624000,10,10.75,10,10.72,561.04,5715.9
1482710400,10,10.88,9.8,10,836.97,8536.19
1482796800,9.86,10.6,9.73,10,504.71,5007
1482883200,10.3,10.44,9.65,9.85,508.04,5139.49
1482969600,11.5,11.89,10.3,10.3,710.38,8012.76
1483056000,11.01,11.9,10.81,11.3,283.99,3231.14
1483142400,11.17,11.2,10.75,11,3970.39,44238.4
1483228800,11.18,11.89,11.17,11.17,1013,11350.74
1483315200,11.74,11.74,11.17,11.17,229.73,2668.73
1483401600,13.12,13.45,10.9,11.74,1404.55,17525.98
1483488000,14.65,14.98,13,13.1,2805.19,39692.55
1483574400,14,16.49,12.56,16.49,7046.35,101891.14
1483660800,13.5,16.2,13,14.4,2261.03,31241.48
1483747200,12.82,14,12.59,13,1192.06,15736.02
1483833600,14,14.6,12.82,14.09,2328.18,32234.69
1483920000,13.66,14.6,13.66,14,5473.82,77465.27
1484006400,14.11,15,13.66,13.66,1144.72,16486.92
1484092800,13.65,14.81,12.88,14.11,2174.87,29776.44
1484179200,13,13.79,12.2,13.65,6050.36,77175.5
1484265600,13.29,13.68,12.6,13,786.99,10365.01
1484352000,12.94,13.39,12.68,13.29,1383.35,18042.98
1484438400,13,15.75,12.84,12.94,1694.42,22967.59
1484524800,13,13.63,13,13,783.51,10302.86
1484611200,13.81,14.48,12.84,13,4917.02,67158.36
1484697600,13.82,14.23,13.81,13.81,7814.25,108903.28
1484784000,14.12,14.41,13.82,13.82,4566.95,64514.44
