time,close,high,low,open,volumefrom,volumeto,vwap,base,quote,exchange
1460851200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1460937600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461024000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461110400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461196800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461283200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461369600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461456000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461542400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461628800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461715200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461801600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461888000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1461974400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462060800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462147200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462233600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462320000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462406400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462492800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462579200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462665600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462752000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462838400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1462924800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463011200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463097600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463184000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463270400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463356800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463443200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463529600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463616000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463702400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463788800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463875200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1463961600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464048000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464134400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464220800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464307200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464393600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464480000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464566400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464652800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464739200,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464825600,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464912000,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1464998400,0,0,0,0,0.0,0.0,,eth,krw,bithumb
1465084800,0,0,0,0,0.0,0.0,,eth,krw,bithumb
