time,close,high,low,open,volumefrom,volumeto
1460851200,9.44,10,8.48,8.48,50714.8,458284.97
1460937600,8.91,9.51,8.46,9.44,49747.88,447653.87
1461024000,8.76,9.25,8.55,8.91,36403.38,324578.12
1461110400,8.54,8.91,8.35,8.76,31546.32,270569.75
1461196800,8.16,8.7,8,8.54,22960.71,192624.07
1461283200,7.82,8.35,7.65,8.16,19376.23,153534.22
1461369600,8.33,8.55,7.72,7.82,11333,92994.05
1461456000,8,8.45,7.81,8.33,27824.91,223626.35
1461542400,7.44,8.1,7.27,8,34918.47,266048.36
1461628800,7.5,7.6,7.1,7.44,33876.48,248541.05
1461715200,7.77,7.99,7.34,7.5,19204.2,147344.88
1461801600,7.3,7.79,7.25,7.77,12512.65,93150.76
1461888000,7.55,7.73,7.22,7.3,9350.54,70359.25
1461974400,8.85,9.42,7.49,7.55,62578.54,535265.77
1462060800,8.79,9.1,8.43,8.85,15618.19,135626.09
1462147200,10.03,10.45,8.79,8.79,53695.75,523354.18
1462233600,9.4,10.15,8.43,10.03,39118.67,372361.08
1462320000,9.47,10,9.22,9.4,25766.86,249154.96
1462406400,9.8,10,9.27,9.47,27094.8,264589.83
1462492800,9.31,9.97,9.14,9.8,33325.85,316636.64
1462579200,9.46,9.64,9.25,9.31,5428.56,51529.48
1462665600,9.54,9.61,8.98,9.46,13492.04,125105.91
1462752000,9.32,9.67,9.21,9.54,7342.75,69459.12
1462838400,9.41,9.53,9.25,9.32,9178.76,86619.67
1462924800,9.95,10,9.38,9.41,26675.88,261812.75
1463011200,10.12,10.55,9.87,9.95,40210.17,407447.62
1463097600,10.47,11.09,10.05,10.12,31370.76,335180.72
1463184000,10.13,10.69,9.73,10.47,26818.76,274509.08
1463270400,9.93,10.48,9.9,10.13,18635.32,188613.95
1463356800,11.01,11.41,9.93,9.93,44651.47,480537.29
1463443200,12.4,12.5,11,11.01,39971.72,475019.31
1463529600,13.29,14.3,12.14,12.4,75208.38,979965.45
1463616000,14.3,14.3,12.85,13.29,50825.49,705030.65
1463702400,13.66,14.85,13.25,14.3,55994.43,798434.59
1463788800,14,14,12.81,13.66,31304.45,419898.92
1463875200,14.2,14.23,13.73,14,30543.85,429470.25
1463961600,13.4,14.38,13.21,14.2,44618.93,621575.62
1464048000,12.59,13.81,11.8,13.4,54428.81,695701.09
1464134400,12.53,12.91,11.8,12.59,41369.94,510567.68
1464220800,12.34,12.9,12,12.53,23236.26,286944.39
1464307200,11.11,12.35,10.4,12.34,80761.51,912068.74
1464393600,11.5,12.2,10.29,11.11,50944.65,583274.14
1464480000,12.37,12.4,11.49,11.5,19445.42,234623.02
1464566400,12.42,12.76,12,12.37,19670.29,244848.41
1464652800,13.88,14.4,12.42,12.42,52115.18,710595.52
1464739200,13.85,14.3,13.44,13.88,45008.82,622677.9
1464825600,13.71,14.09,13.62,13.85,22513.28,312793.95
1464912000,13.82,13.95,13.01,13.71,24584.23,332509.44
1464998400,13.65,13.9,13.3,13.82,21090.73,288472.71
1465084800,13.96,13.96,13.57,13.65,13370.38,184825.24
1465171200,13.96,13.96,13.77,13.96,17726.51,246481.87
1465257600,14.42,14.67,13.76,13.96,29114.64,413946.15
1465344000,14.44,14.77,14.32,14.42,28626.05,417504.66
1465430400,14.42,14.8,14.35,14.44,10889.01,158260.35
1465516800,14,14.49,13.8,14.42,30219.56,427271.63
1465603200,14.06,14.19,13.77,14,12112.96,168480.78
1465689600,15.7,15.7,14.01,14.06,47379.2,704562.9
1465776000,17.57,17.64,15.56,15.7,85575.8,1432026.16
