time,close,high,low,open,volumefrom,volumeto
1460851200,9.45,9.78,8.52,8.52,3806.4,35471.5
1460937600,8.95,9.46,8.52,9.45,3345.01,30439.1
1461024000,8.75,9.31,8.74,8.95,4580.7,41140.8
1461110400,8.54,8.94,8.38,8.75,1628.21,14060.03
1461196800,8.16,9.35,8.05,8.54,4928.54,41818.65
1461283200,7.91,8.4,7.8,8.16,2797.14,22493.74
1461369600,8.43,8.69,7.8,7.91,1983.28,16062.18
1461456000,8.04,8.5,7.96,8.43,1968.59,16207.59
1461542400,7.61,8.15,7.34,8.04,6035.22,47264.5
1461628800,7.38,7.62,7.12,7.61,3764.79,27995.9
1461715200,7.7,7.99,7.32,7.38,3448.43,26526.1
1461801600,7.28,7.83,7.21,7.7,4641.49,34147.58
1461888000,7.5,7.74,7.2,7.28,1231.92,9216.29
1461974400,8.84,9.44,7.44,7.5,7454.03,64492.06
1462060800,8.83,9,8.37,8.84,2449.12,21323.51
1462147200,10.11,10.27,8.69,8.83,7311.48,71594.77
1462233600,9.33,10.11,9.3,10.11,2000.79,19206.14
1462320000,9.37,10,9.25,9.33,1864.86,17945.92
1462406400,9.85,10.05,9.35,9.37,1675.87,16343.94
1462492800,9.27,9.95,9.03,9.85,2630.07,24925.31
1462579200,9.35,9.5,9.1,9.27,1711.06,16003.76
1462665600,9.5,9.6,8.98,9.35,2130.33,19647.21
1462752000,9.32,9.69,9.21,9.5,1001.14,9466.56
1462838400,9.38,9.6,9.26,9.32,1552.76,14678.78
1462924800,9.87,10,9.32,9.38,2376.11,23139.03
1463011200,10.08,10.55,9.81,9.87,2234.86,22718.25
1463097600,10.52,11,10,10.08,2041.27,21699.85
1463184000,10.23,10.55,9.78,10.52,2667.11,27078.43
1463270400,9.95,10.4,9.87,10.23,2554.44,26100.33
1463356800,11.19,11.5,9.95,9.95,3868.17,41998.63
1463443200,11.92,12.55,11,11.19,3671.18,44160.1
1463529600,13.19,14.03,11.92,11.92,6234.56,81580.15
1463616000,14.49,14.5,13.14,13.19,4839.15,67417.68
1463702400,13.62,14.8,13,14.49,5666.66,79388.04
1463788800,13.7,13.75,12.62,13.62,3378.98,44069.21
1463875200,14.08,14.25,13,13.7,3118.36,42746.76
1463961600,13.25,14.25,13.25,14.08,3102.32,42981.86
1464048000,12.64,13.8,11.88,13.25,3388.91,43033.44
1464134400,12.64,12.86,11.65,12.64,2789.53,34562.87
1464220800,12.52,12.85,12,12.64,969.43,12036.1
1464307200,11.03,12.52,10.35,12.52,4857.49,54972.56
1464393600,10.75,12.25,10.14,11.03,10165.2,114600.2
1464480000,12.35,12.5,10.63,10.75,7451.39,89446.13
1464566400,12.77,12.79,12.05,12.35,5497.94,68124.66
1464652800,13.87,14.3,12.61,12.77,7383.57,100226.44
1464739200,13.77,14.1,13.34,13.87,7493.62,103050.35
1464825600,13.71,14,13.55,13.77,2923.41,40345.3
1464912000,13.8,13.91,13.36,13.71,4629.31,62837.36
1464998400,13.83,14,13.5,13.8,4731.65,65208.96
1465084800,14.01,14.01,13.62,13.83,2597.8,36003.16
1465171200,13.94,14.01,13.69,14.01,1162.2,16064.31
1465257600,14.4,14.5,13.77,13.94,3419.54,48529.21
1465344000,14.45,14.75,14.25,14.4,4930.24,71848.35
1465430400,14.39,14.6,14.14,14.45,2906.19,41809.17
1465516800,13.87,14.48,13.6,14.39,4298.42,60613.94
1465603200,13.95,14.1,13.76,13.87,1153.97,16069.85
1465689600,15.6,15.6,13.88,13.95,20192.74,297144.58
1465776000,17.2,17.3,15.37,15.6,22588.41,375370.85
1465862400,18.51,18.95,15.11,17.2,36060.27,620847.68
1465948800,18.18,18.59,17.23,18.51,13401.8,242551.18
1466035200,20.5,21.1,17.9,18.18,43377.25,855922.34
1466121600,15.5,21.4,13,20.5,135834.3,2286623.83
1466208000,11.37,15.5,7.11,15.5,126496.32,1473693.02
1466294400,12.27,13.55,10.56,11.37,42825.06,525260.94
1466380800,11.67,12.62,10.5,12.27,27760.27,316828.66
1466467200,12.76,12.84,10.64,11.67,47350.01,567401.15
1466553600,13.15,15.95,12.76,12.76,85900.11,1229873.95
1466640000,13.85,14,12.6,13.15,31720.36,419927.38
1466726400,14.3,14.56,13.4,13.85,25230.1,353986.2
1466812800,14.4,14.84,14,14.3,10194.21,146757.68
1466899200,13.77,14.44,13.56,14.4,5935.51,82697.96
1466985600,13.89,14.12,13.77,13.77,9252.95,129007.17
1467072000,12.17,13.98,11.6,13.89,37456.18,462253.02
1467158400,12.76,13.03,11.6,12.17,14996.78,183128.25
1467244800,12.44,12.76,12.2,12.76,5239.91,65186.56
1467331200,12.38,12.51,11.78,12.44,11695.48,141351.78
1467417600,12.18,12.38,11.9,12.38,9922.92,119239.68
1467504000,11.87,12.18,11.6,12.18,13931.81,165011.41
1467590400,11.41,11.87,9.97,11.87,49107.37,524520.05
1467676800,10.5,11.5,9.15,11.41,61171.25,630798.29
1467763200,10.44,11.08,9.9,10.5,15468.69,163303.34
1467849600,10.14,10.56,9.4,10.44,13097.23,129749.66
1467936000,11.13,11.6,9.9,10.14,31770.53,342881.99
1468022400,10.99,11.41,10.67,11.13,6769.88,74002.06
1468108800,10.96,11,10.77,10.99,932.32,10175.95
1468195200,10.59,11.01,10.24,10.96,6676.89,70637.92
1468281600,10.57,10.9,10.4,10.59,7025.94,74444.17
1468368000,10.56,10.65,10.44,10.57,3528.55,37256.29
1468454400,11.55,11.71,10.47,10.56,19938.72,223354.03
1468540800,11.98,12.41,11.47,11.55,12309.86,148568.28
1468627200,11.73,12.06,11.71,11.98,3339,39514
1468713600,11.28,11.73,11,11.73,7191.32,81515.11
1468800000,11.04,11.76,11,11.28,33372.21,385774.96
1468886400,11.68,12.23,11.04,11.04,17374.2,203505.67
1468972800,12.46,13.06,11.63,11.68,28831.49,356159.13
1469059200,12.5,12.72,12.06,12.46,8814.92,109616.43
1469145600,14.75,14.93,12.5,12.5,34420.26,480841.41
1469232000,14.23,14.89,14,14.75,26055.78,375662.8
1469318400,12.72,14.45,12.25,14.23,39965.91,538452.2
1469404800,13.8,13.8,12.61,12.72,9659.74,128661.98
1469491200,12,13.83,11.8,13.8,53436.94,667144.21
1469577600,13.04,13.48,11.3,12,34914.7,431494.36
1469664000,12.97,13.13,12.51,13.04,7763.43,98788.68
1469750400,12.8,12.97,12.56,12.97,3693.93,46949.19
1469836800,12.55,12.92,12.53,12.8,1254.46,15924.09
1469923200,11.88,12.56,11.48,12.55,12570.64,149047.25
1470009600,11.03,12.04,11.03,11.88,10262.39,117610.89
1470096000,8.17,11.24,7.25,11.03,110460.56,1033673.33
1470182400,10.15,10.65,7.91,8.17,79302.75,742834.37
1470268800,11.22,11.51,10.02,10.15,42424.74,466709.55
1470355200,10.94,11.32,10.6,11.22,11368.88,124161.73
1470441600,10.89,10.98,10.21,10.94,9124.25,96902.66
1470528000,11.06,11.43,10.7,10.89,10358.5,114791.7
1470614400,11.4,11.4,11,11.06,7872.32,87918.31
1470700800,12.45,12.83,11.22,11.4,38213.88,463695.89
1470787200,12.34,12.83,12.05,12.45,38369.69,474754.06
1470873600,11.65,12.45,11.6,12.34,27169.92,323710.01
1470960000,11.75,12.19,11.6,11.65,13701.16,163703.02
1471046400,11.51,11.95,11.46,11.75,7942.68,92510.87
1471132800,11.09,11.7,10.75,11.51,22453.4,251254.65
1471219200,11.11,11.42,10.92,11.09,13073.34,146280.25
1471305600,11.14,11.2,10.95,11.11,5184.6,57621.03
1471392000,10.79,11.19,10.33,11.14,21321.63,229415.27
1471478400,10.75,10.99,10.66,10.79,8291.64,89886.68
1471564800,10.77,10.81,10.47,10.75,6838.08,72658.98
1471651200,11.26,11.35,10.67,10.77,11856.63,131408.44
1471737600,11.18,11.27,11,11.26,2284.42,25427.96
1471824000,11.14,11.4,11.05,11.18,8225.22,92086.23
1471910400,10.96,11.27,10.9,11.14,8863.55,97935.78
1471996800,11.05,11.2,10.96,10.96,1886.94,20927.64
1472083200,11.35,11.35,11,11.05,5123.76,57438.49
1472169600,11.3,11.45,11.03,11.35,5015.96,56564.28
1472256000,11.25,11.3,11.09,11.3,2066.36,23169.54
1472342400,10.89,11.25,10.7,11.25,10145.34,111425.82
1472428800,10.99,11.15,10.7,10.89,12176.85,133591.36
